num_lectures,price,days_since_published,content_duration
211,25,2114,20.5
12,0,2268,1.5
28,35,1738,2.0
21,50,2811,3.5
16,60,1914,1.0
12,50,1771,1.5
66,195,2622,9.0
45,50,1789,6.0
124,200,3208,22.0
14,75,1917,1.5
8,20,2093,1.0
5,20,2859,1.0
20,0,2486,1.0
19,95,1920,1.0
44,100,1737,2.0
76,150,1889,5.5
22,0,1836,2.5
6,160,2214,1.0
43,20,2391,4.0
47,165,1764,5.5
30,50,2129,1.5
19,0,1886,2.0
11,20,2902,1.5
20,20,2468,1.0
11,45,2176,2.0
25,100,1977,2.5
86,90,2439,6.5
54,200,1690,3.0
11,20,2042,1.5
55,175,2482,7.0
6,20,1799,1.5
17,25,2530,1.0
49,100,2255,5.0
17,0,2165,1.0
14,40,2372,1.0
8,65,1957,1.5
136,50,3078,12.0
15,20,1935,0.6333333333333333
19,20,2426,3.0
7,20,1745,0.5833333333333334
64,150,2015,6.5
25,40,2542,2.0
9,20,2206,2.0
24,35,2360,1.5
70,195,2276,7.5
5,0,2164,1.0
6,0,1704,1.0
24,30,1924,2.0
81,195,2075,5.0
19,100,1676,3.0
134,150,2555,12.0
7,0,2230,0.6
20,50,2811,3.0
42,25,3046,3.0
13,0,1677,0.65
26,145,2293,1.5
41,30,1919,4.0
13,20,2453,2.0
20,95,1943,2.0
13,20,2497,1.5
8,20,2146,1.5
13,40,1704,1.0
111,150,2097,8.5
5,25,2572,0.5333333333333333
19,20,2597,1.5
33,35,2199,1.0
57,195,1865,17.0
56,200,2534,5.5
20,80,1919,1.0
43,50,2483,5.5
14,20,1724,0.6166666666666667
77,60,2215,5.5
29,20,1746,4.5
162,60,2118,18.5
31,95,2367,1.5
13,100,2255,1.5
73,200,1733,7.0
43,75,1802,1.0
10,20,2359,1.0
25,20,2597,1.5
10,25,1942,0.6
62,50,2320,3.0
13,50,2163,2.0
23,50,1880,1.0
62,50,3713,4.5
43,200,2313,4.5
37,40,2621,1.0
27,40,2489,1.0
80,50,2037,12.0
35,200,1856,2.5
7,20,2322,1.0
35,50,2132,5.0
33,75,3010,5.0
21,200,1924,2.0
25,50,3010,2.0
25,95,1711,2.0
56,120,1928,8.5
7,45,2065,1.0
78,20,2541,6.0
12,20,2752,1.5
97,100,2330,11.0
27,75,2207,5.5
14,20,3022,1.0
18,50,2878,3.0
73,170,2106,5.0
22,20,2399,1.0
12,20,2823,1.0
20,25,1870,1.0
21,20,2411,1.0
13,60,3260,1.5
33,20,1818,5.0
18,70,2390,1.5
80,50,1957,5.5
14,25,2010,0.5333333333333333
48,20,1928,4.5
15,35,2894,1.5
13,20,2048,0.5833333333333334
20,60,2558,1.5
11,0,2135,0.6333333333333333
31,70,1872,2.5
33,0,1703,3.5
9,50,2270,1.0
30,50,2304,1.5
28,20,2054,1.5
31,50,2118,1.0
10,20,2139,1.0
40,105,2458,2.5
62,60,2209,11.0
7,45,1887,0.55
13,30,2846,2.0
16,195,2144,2.0
17,100,1717,2.5
17,35,1747,1.5
26,150,1816,3.0
64,195,1698,6.5
12,30,2327,1.5
29,50,2058,2.0
25,50,3364,4.0
59,145,1857,3.0
11,0,2422,1.5
36,70,2100,3.5
26,20,2125,3.0
55,200,2581,6.5
32,40,2251,3.5
135,40,2403,6.0
26,65,2168,1.0
12,200,1890,1.0
45,50,2934,7.0
12,25,2055,1.0
31,50,2241,1.0
16,50,1683,1.0
49,40,1943,6.0
15,50,2063,1.5
14,20,1754,1.5
30,40,2776,3.5
18,195,2469,1.5
20,50,2836,4.5
57,50,3390,7.5
28,20,2579,2.0
31,0,2319,2.5
14,25,1875,2.0
42,195,2217,4.5
38,195,2437,2.5
16,200,1675,1.5
14,20,3098,1.5
11,20,1841,1.5
22,40,1746,2.0
18,40,2300,1.0
19,200,1943,1.0
65,165,1903,18.5
45,150,2210,4.0
24,180,3251,4.5
17,50,2153,1.5
33,35,1732,1.0
83,30,2559,5.0
31,50,1709,6.0
9,20,2294,0.6166666666666667
74,200,1682,8.5
125,200,1696,19.5
8,20,3018,1.0
25,20,2020,1.5
14,75,2131,1.0
16,95,2529,2.0
30,120,2340,3.0
7,20,1845,1.0
39,95,2628,2.0
32,0,2364,3.0
23,20,2811,3.0
41,195,2165,4.0
54,35,2271,4.0
89,150,1914,20.5
6,20,1711,0.7
33,25,1802,1.5
33,30,2620,2.0
18,40,2778,3.0
308,150,2108,29.5
28,85,2291,2.5
9,40,1890,0.6333333333333333
10,200,1808,2.0
52,35,3655,3.5
36,25,1681,3.0
98,175,1958,16.5
6,20,1705,0.5666666666666667
16,20,2654,2.0
18,0,1675,1.5
10,25,1870,1.0
64,35,3427,10.0
26,95,2143,2.0
39,95,2102,3.0
20,140,2270,1.5
28,100,2502,3.0
10,50,2047,1.0
17,25,2640,1.5
34,30,2045,3.5
65,150,1900,4.5
12,20,3166,1.0
30,85,2653,2.5
100,50,2648,6.0
13,0,2128,1.0
66,70,2221,6.5
40,50,2326,3.0
13,0,1730,2.0
30,95,2534,2.5
